date,open,high,low,close,volume,settled,source
2024-06-05,2.780000,2.820000,2.779000,2.806500,233890,True,yahoo
2024-06-06,2.810000,2.818000,2.780000,2.780000,110282,True,yahoo
2024-06-07,2.780000,2.798000,2.770000,2.780000,63468,True,yahoo
2024-06-10,2.780000,2.780000,2.750000,2.770000,37278,True,yahoo
2024-06-11,2.780000,2.780000,2.742500,2.750000,55731,True,yahoo
2024-06-12,2.750000,2.780000,2.750000,2.770000,23225,True,yahoo
2024-06-13,2.799500,2.799500,2.760000,2.788000,52030,True,yahoo
2024-06-14,2.770000,2.779000,2.730500,2.733000,97496,True,yahoo
2024-06-17,2.730000,2.750000,2.680000,2.710000,64472,True,yahoo
2024-06-18,2.710000,2.727000,2.700000,2.700000,29809,True,yahoo
2024-06-19,2.700000,2.711000,2.650000,2.709500,47211,True,yahoo
2024-06-20,2.685000,2.710000,2.625000,2.690000,184689,True,yahoo
2024-06-21,2.690000,2.690000,2.670000,2.675000,36522,True,yahoo
2024-06-25,2.675000,2.707000,2.675000,2.680000,56729,True,yahoo
2024-06-26,2.660000,2.683000,2.660000,2.681500,46735,True,yahoo
2024-06-27,2.671000,2.700000,2.671000,2.700000,35608,True,yahoo
2024-06-28,2.700000,2.706000,2.600000,2.701000,58905,True,yahoo
2024-07-01,2.720000,2.720000,2.680000,2.719500,19789,True,yahoo
2024-07-02,2.720000,2.720000,2.700000,2.720000,25640,True,yahoo
2024-07-03,2.650000,2.719500,2.650000,2.719500,24739,True,yahoo
2024-07-04,2.735000,2.735000,2.660500,2.716000,13428,True,yahoo
2024-07-05,2.716000,2.716000,2.686500,2.691000,17689,True,yahoo
2024-07-08,2.698500,2.730000,2.680000,2.730000,39455,True,yahoo
2024-07-09,2.735000,2.737500,2.690000,2.704000,36867,True,yahoo
2024-07-10,2.712000,2.730000,2.700000,2.730000,24828,True,yahoo
2024-07-11,2.682000,2.730000,2.682000,2.708000,36845,True,yahoo
2024-07-12,2.710000,2.740000,2.697000,2.740000,22498,True,yahoo
2024-07-15,2.740000,2.750000,2.700000,2.750000,80422,True,yahoo
2024-07-16,2.720000,2.750000,2.720000,2.740000,34650,True,yahoo
2024-07-17,2.750000,2.760000,2.705000,2.720000,14984,True,yahoo
